"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J6";"1.3_240x240_RGB_IPS_LCD";1;"Conn_01x12_Female";;;
2;"G***";"SD_Logo_5mm_inv";1;"LOGO";;;
3;"Q1";"SOT-23";1;"NTR4003";;;
4;"G***";"Oxford_Logo_35mm_inv";1;"LOGO";;;
5;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"BOOT0";;;
6;"G***";"Oxford_Logo_35mm";1;"LOGO";;;
7;"JP2";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"BOOT1";;;
8;"BT1";"BatteryHolder_Keystone_2479_3xAAA";1;"Battery";;;
9;"C4,C5,C3,C6,C9,C10,C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"100nF";;;
10;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
11;"J10";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"SD_Card";;;
12;"G***";"ST32_Logo";1;"LOGO";;;
13;"R15,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1K5";;;
14;"SW1";"SW_SPDT_CK-JS102011SAQN";1;"Power";;;
15;"J3";"PinHeader_1x06_P2.54mm_Horizontal";1;"GPIO";;;
16;"Y1";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"8MHz";;;
17;"C7,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"18pF";;;
18;"R8,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4K7";;;
19;"D2";"LED_RGB_1210";1;"LED_RGB";;;
20;"SW4";"SW_SPST_B3SL-1022P";1;"ENTER";;;
21;"C1,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1uF";;;
22;"J1";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
23;"J2";"PinHeader_1x06_P2.54mm_Horizontal";1;"EXT_SPI";;;
24;"J4";"PinHeader_1x04_P2.54mm_Horizontal";1;"EXT_I2C";;;
25;"J5";"PinHeader_1x06_P2.54mm_Horizontal";1;"EXT_UART";;;
26;"JP3,JP4,JP5";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";3;"Voltage Select";;;
27;"R2,R3,R7,R16,R17,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"33K";;;
28;"R4,R5,R6,R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"82R";;;
29;"SW2";"SW_SPST_B3SL-1022P";1;"RESET";;;
30;"SW3";"SW_SPST_B3SL-1022P";1;"LEFT";;;
31;"SW5";"SW_SPST_B3SL-1022P";1;"RIGHT";;;
32;"U2";"SOT-23-5_HandSoldering";1;"MIC5504-3.3YM5";;;
33;"";"MountingHole_4.3mm_M4";1;"MountingHole_4.3mm_M4";;;
34;"G***";"github_link";1;"LOGO";;;
35;"G***";"OI_Careers_link";1;"LOGO";;;
36;"G***";"AW_Signature_7mm_inv";1;"LOGO";;;
37;"G***";"Open_Hardware";1;"LOGO";;;
38;"G***";"PB_Free_Ring";1;"LOGO";;;
39;"G***";"PB_Free_Text";1;"LOGO";;;
40;"J9";"PinHeader_1x05_P2.54mm_Horizontal";1;"SWD";;;
41;"G***";"ESD_Copper_8mm";1;"LOGO";;;
42;"G***";"ESD_Silk_8mm";1;"LOGO";;;
43;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
44;"TP1,TP2,TP3,TP4,TP5,TP6";"TestPoint_Pad_D1.0mm";6;"TestPoint";;;
